_date,total_views,unique_views
2023-07-09,1,1
2023-08-21,7,1
2023-12-29,8,1
2024-01-17,1,1
2024-01-18,2,1
2024-04-03,1,1
2024-04-17,2,1
2024-04-19,1,1
2024-04-22,6,1
2024-06-30,1,1
2024-07-11,1,1
2024-08-04,5,1
2024-10-24,3,1
2024-11-04,1,1
2024-11-08,1,1
2024-11-28,1,1
2024-11-29,1,1
2024-12-03,1,1
2025-03-06,1,1
2025-08-08,2,1
2025-09-20,8,1
2025-10-21,1,1
2025-11-10,4,1
2025-11-18,1,1
2025-11-20,1,1
2025-11-28,1,1
2025-12-05,3,1
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,1,1
2026-02-04,0,0
2026-02-05,1,1
2026-02-06,0,0
2026-02-07,0,0
2026-02-08,1,1
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-12,0,0
2026-02-13,0,0
2026-02-14,0,0
2026-02-15,0,0
2026-02-16,0,0
2026-02-17,0,0
2026-02-18,0,0
2026-02-19,0,0
2026-02-20,0,0
2026-02-21,0,0
